symbol,name,market,industry,yahoo_symbol
4561,健椿,TPEx,05,4561.TWO
4562,穎漢,TWSE,05,4562.TW
4563,百德,TPEx,05,4563.TWO
4564,元翎,TWSE,05,4564.TW
4566,時碩工業,TWSE,05,4566.TW
4568,科際精密,TPEx,05,4568.TWO
4569,六方科-KY,TWSE,12,4569.TW
4571,鈞興-KY,TWSE,05,4571.TW
4572,駐龍,TWSE,05,4572.TW
4576,大銀微系統,TWSE,05,4576.TW
4577,達航科技,TPEx,31,4577.TWO
4580,捷流閥業,TPEx,05,4580.TWO
4581,光隆精密-KY,TWSE,12,4581.TW
4582,聚恆-創,TWSE,35,4582.TW
4583,台灣精銳,TWSE,05,4583.TW
4584,君帆,TPEx,05,4584.TWO
4585,達明,TWSE,31,4585.TW
4588,玖鼎電力,TWSE,31,4588.TW
4590,富田-創,TWSE,05,4590.TW
4609,唐鋒,TPEx,38,4609.TWO
4702,中美實,TPEx,38,4702.TWO
4706,大恭,TPEx,21,4706.TWO
4707,磐亞,TPEx,21,4707.TWO
4711,永純,TPEx,21,4711.TWO
4714,永捷,TPEx,21,4714.TWO
4716,大立,TPEx,21,4716.TWO
4720,德淵,TWSE,21,4720.TW
4721,美琪瑪,TPEx,21,4721.TWO
4722,國精化,TWSE,21,4722.TW
4726,永昕,TPEx,22,4726.TWO
4728,雙美,TPEx,22,4728.TWO
4729,熒茂,TPEx,26,4729.TWO
4735,豪展,TPEx,22,4735.TWO
4736,泰博,TWSE,22,4736.TW
4737,華廣,TWSE,22,4737.TW
4739,康普,TWSE,21,4739.TW
4741,泓瀚,TPEx,21,4741.TWO
4743,合一,TPEx,22,4743.TWO
4744,皇將,TPEx,22,4744.TWO
4745,合富-KY,TPEx,22,4745.TWO
4746,台耀,TWSE,22,4746.TW
4747,強生製藥,TPEx,22,4747.TWO
4749,新應材,TPEx,24,4749.TWO
4754,國碳科,TPEx,21,4754.TWO
4755,三福化,TWSE,21,4755.TW
4760,勤凱科技,TPEx,31,4760.TWO
4763,材料*-KY,TWSE,21,4763.TW
4764,雙鍵,TWSE,21,4764.TW
4766,南寶,TWSE,21,4766.TW
4767,誠泰科技,TPEx,21,4767.TWO
4768,晶呈科技,TPEx,21,4768.TWO
4770,上品,TWSE,21,4770.TW
4771,望隼,TWSE,22,4771.TW
4772,台特化,TPEx,21,4772.TWO
4804,大略-KY,TPEx,16,4804.TWO
4806,桂田文創,TPEx,32,4806.TWO
